,제품명,소비자가,실판매가
0,[무료배송]껍질 없는 아이스 고구마 꺼내먹구마 15팩 / 30팩(120g),"36,900","34,900"
1,다노샵 단백질공화국 칠리훈제굴,"3,000","2,700"
2,[무료배송]다노샵 비키니 10일 챌린지 세트,"70,400","67,900"
3,다노샵 단백질공화국 닭가슴살칩[무항생제 국내산 닭 사용],"3,200","3,000"
4,[증정이벤트]단백질공화국 흑임자선식 30개 세트 [단백질쉐이크],"75,000","67,500"
5,[무료배송]다노샵 저염2주 식단세트,"62,600","59,900"
6,다노샵 단백질공화국 흑임자선식 [단백질쉐이크],"2,900","2,500"
7,[특가상품] 다노언니 10일 식단세트,"104,500","94,500"
8,다노샵 오트밀 세트,"27,300","25,900"
9,다노샵 꺼내먹콩 선물박스 [50개입],"50,000","46,500"
10,다노샵 드라이미크레이지 감귤말랭이,"3,500","2,900"
11,다노샵 단백질공화국 인절미과자,"4,000","3,500"
12,다노샵 맛없는 무첨가두유 심콩두유 한 박스(10개입/20개입),"24,000","19,900"
13,코코넛 음료 밀키코코,"2,500","2,200"
14,[추가입고-한정수량] 빅사이즈 브라운 라이스 소울(30개입),"45,000","39,900"
15,[무료배송]프리미엄 GAP 파프리카,"19,000","17,000"
16,다노샵 고단백 콩스낵 꺼내먹콩 [10개입],"12,000","9,800"
17,다노샵 마키베리 파우더,"29,900","24,900"
18,[무료배송]다노샵 1일1샐 프로젝트 과일팩,"29,900","24,900"
19,[무료배송]다노샵 1일1샐 프로젝트 샐러드팩,"19,900","16,900"
20,다노샵 현미시리얼 브라운 라이스 소울[낱개/10개입],"1,600","1,500"
21,인페르노 하바네로 핫소스 4종,"12,000","7,900"
22,미녀들의 간식 무첨가 반건조무화과,"7,000","6,200"
23,다노샵 한달 잇클린 챌린지(뮤즐리 세트),"46,700","45,000"
24,유기농 보리커피 오르조,"8,900","8,500"
25,트라이앵글 베지 누들메이커(야채면만들기),"45,000","36,900"
26,트라이앵글 애플슬라이서(사과커터),"55,000","39,000"
27,뵨스테드 유기농 다크 초콜릿,"7,000","5,900"
28,트라이앵글 애플코러(사과씨제거기),"16,000","12,800"
29,뉴질랜드 엑스트라버진 아보카도 오일,"23,000","18,900"
30,귀리 음료 오틀리 오리지널,"2,500","2,000"
31,통곡물 빵 크리스프 씬브레드,"5,500","4,900"
32,다노샵 아침먹기 10일 프로젝트 2탄,"36,000","31,500"
33,유기농 병아리콩 대용량,"4,500","3,800"
34,다노바 선물세트,"60,000","56,000"
35,"입맛 지우개 무설탕 민트캔디(페퍼민트,스피아민트)","4,000","3,500"
36,페루 마카파우더,"32,000","28,900"
37,덜 심심한 아몬드 코코넛 밀크,"7,900","6,900"
38,NFC 리얼 착즙주스 2종,"4,500","3,900"
39,"천연 향신료 3종(파슬리,바질,페퍼로치노)","4,500","3,900"
40,다노샵 달지 않은 견과류바 다노바 낱개,"1,500","1,500"
41,유기농 오트밀 그래놀라,"10,000","9,500"
42,다노샵 달지 않은 견과류바 다노바,"15,000","13,500"
43,위트빅스 멀티그레인,"12,500","11,900"
44,식이섬유 폭탄 오트 브란(오트밀 귀리 속겨 100%),"15,500","11,900"
45,유기농 아몬드 헤이즐넛 그래놀라,"13,000","12,000"
46,리쉬 엑스트라버진 코코넛 오일 250ml,"12,000","7,000"
47,DIY 현미통밀 단백질빵 믹스(350g*2개),"8,000","7,500"
48,프리미엄 곡물 나초칩,"8,000","7,500"
49,밤맛 좋은 우리 맛밤 80g,"3,000","2,900"
50,발아현미 100% 즉석밥,"1,800","1,300"
51,다노 잇클린 식판 ver.2,"21,900","19,900"
52,미니 코코넛워터 1BOX,"2,800","2,075"
53,통밀 파스타 (푸실리/펜네),"5,000","4,200"
54,어른을 위한 순수한 현미과자,"3,000","2,700"
55,다노샵 아침먹기 10일 프로젝트 1탄,"31,900","27,900"
56,멩가졸리 8년산 유기농 발사믹 식초,"34,000","28,900"
57,베이비 퀵오트밀(포리지의 막내동생),"17,000","12,900"
58,새콤달콤 베리뮤즐리#2,"15,000","13,500"
59,임성규네 고구마 말랭이100g,"2,500","2,200"
60,친환경 무항생제 구운계란 두판(60개),"29,800","23,900"
61,친환경 무항생제 구운계란 한판(30개),"14,900","13,900"
62,데체코 엑스트라버진 올리브오일 500ml,"14,000","12,900"
63,[무료배송]염분 무첨가 훈제 닭가슴살 다노닭 1kg,"17,000","15,900"
64,쫀득한 국산 밤묵말랭이,"10,000","8,500"
65,위트빅스 오리지날(통곡밀 97%),"7,900","6,900"
66,유기농 발사믹 크림소스,"22,000","19,900"
67,[무료배송]염분 무첨가 훈제 닭가슴살 다노닭 3kg,"39,000","34,900"
68,혼자 심심한 아몬드밀크,"7,900","6,900"
69,[100%천연] 오 마이 허니 꿀 2종,"20,000","15,900"
70,고소한 견과류 덕후 뮤즐리#1,"15,000","13,500"
71,다노샵 수제 생초콜릿 만들기 세트,"36,800","32,500"
72,천연 이온음료 코코넛워터,"6,500","5,200"
73,달콤고소 알짜 뮤즐리#3,"15,500","13,500"
74,다노샵 초콜릿의 엄마 카카오닙스,"7,200","6,200"
75,다노샵 싱글오리진 다크초콜릿(닥초),"6,200","5,900"
76,쫄깃쫄깃 점보 오트밀,"12,800","8,900"
77,다노샵 바삭바삭 볶은현미 [100%유기농],"4,500","3,900"
78,다노샵 아사이베리 파우더,"29,900","24,900"
79,다노샵 100% 코코아 파우더(코파),"4,500","3,700"
80,베티나르디 허브티 페퍼민트,"13,000","10,900"
81,베티나르디 허브티 히비스커스,"13,000","10,900"
82,유기농 발아현미 송윤주 선식,"35,000","32,000"
83,100% 착즙 레몬즙,"4,700","4,200"
84,100%통곡물시트,"5,000","4,500"
85,유기농 통밀 스파게티,"5,500","4,200"
86,플라하반 포리지 오트밀,"10,800","7,300"
87,무첨가 캐피어 요거트 유산균 파우더,"8,000","7,500"
88,100%통호밀시트,"5,000","4,500"
89,[8월 중순 재입고예정]다노샵 베스트 간식세트,"9,900","9,900"
90,다노샵 맛없는 무첨가두유 심콩두유 낱개,"1,400","1,200"
91,[무료배송]친환경 쌈채소 1kg,"12,900","10,900"
92,과일스낵 다니엘칩,"4,800","3,800"
93,트라이앵글 웨지나이프(모양내기칼),"29,000","22,500"
94,다노샵 Eat Clean 시리얼 머그,"12,500","9,500"
95,홀그레인 머스타드,"6,000","5,800"
96,병아리를 닮은 칙피 병아리콩캔 미니,"3,800","2,500"
